sale_date,day_of_week,invoices_count,total_quantity,total_discount,total_amount,year,month,day,day_of_year,week_of_year,is_weekend,is_month_start,is_month_end,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_7,sales_lag_14,sales_lag_30,quantity_lag_1,quantity_lag_7,invoices_lag_1,invoices_lag_7,discount_lag_1,discount_lag_7,rolling_mean_sales_7,rolling_std_sales_7,rolling_max_sales_7,rolling_min_sales_7,rolling_mean_sales_14,rolling_std_sales_14,rolling_max_sales_14,rolling_min_sales_14,rolling_mean_sales_30,rolling_std_sales_30,rolling_max_sales_30,rolling_min_sales_30,rolling_mean_quantity_7,rolling_std_quantity_7,rolling_mean_quantity_14,rolling_std_quantity_14,rolling_mean_invoices_7,rolling_std_invoices_7,rolling_mean_invoices_14,rolling_std_invoices_14,weekly_avg_sales,sales_change_pct,monthly_avg_sales,day_of_week_avg
2023-01-31,1,10,14,68.23,12731.74,2023,1,31,31,5,0,0,1,10077.54,110872.77,17949.05,30423.96,17026.11,21189.37,16.0,21.0,11.0,14.0,94.22,38.57,33303.36428571429,35584.25642453081,110872.77,10077.54,30448.31428571429,24612.344376185178,110872.77,10077.54,26156.043,18334.111086299774,110872.77,9730.13,20.428571428571427,6.704653678780209,23.571428571428573,6.501056549802984,12.142857142857142,2.853569193634029,13.428571428571429,3.412968158121556,33303.36428571429,0.26337776878087293,33441.46693548387,37218.906721311476
2023-02-01,2,11,15,0.0,15702.38,2023,2,1,32,5,0,1,0,12731.74,10077.54,110872.77,24503.94,31433.03,23938.94,14.0,21.0,10.0,15.0,68.23,5.82,32045.998571428576,36098.78537201837,110872.77,10077.54,29324.696428571428,24921.06788314368,110872.77,10077.54,25881.491,18429.877739039595,110872.77,9730.13,19.571428571428573,6.996597812678746,22.571428571428573,6.676183683170241,11.571428571428571,2.5727509827124035,13.142857142857142,3.4386299341708497,32045.998571428576,0.23332553130993872,38860.056140350884,35273.1293442623
2023-02-02,3,11,20,0.0,18961.9,2023,2,2,33,5,0,0,0,15702.38,12731.74,10077.54,17128.68,26206.97,17767.07,15.0,14.0,11.0,8.0,0.0,4.93,32307.887142857147,35978.9775996779,110872.77,10077.54,28807.191428571427,25065.59562038031,110872.77,10077.54,25921.31866666667,18413.020819193498,110872.77,9730.13,20.428571428571427,6.553806600166119,22.0,6.516251872168421,12.0,2.0816659994661375,12.857142857142858,3.4386299341708497,32307.887142857147,0.20758127111941005,38860.056140350884,37770.58147540984
2023-02-03,4,16,22,15.97,22350.37,2023,2,3,34,5,0,0,0,18961.9,15702.38,12731.74,39859.83,33524.47,20299.96,20.0,30.0,11.0,15.0,0.0,41.87,29806.535714285714,35975.093163319194,110872.77,10077.54,28009.04142857143,25081.731487559704,110872.77,10077.54,25989.66566666667,18395.23232525392,110872.77,9730.13,19.285714285714285,5.154748157905353,21.071428571428573,5.341625879165163,12.142857142857142,2.340126166724883,12.428571428571429,2.440500759279528,29806.535714285714,0.17869886456525963,38860.056140350884,61068.61836065573
2023-02-04,5,10,16,0.0,30734.16,2023,2,4,35,5,1,0,0,22350.37,18961.9,15702.38,17949.05,17500.33,29530.65,22.0,19.0,16.0,11.0,15.97,91.54,31632.980000000003,35595.30211724154,110872.77,10077.54,28954.315000000002,24903.963189349462,110872.77,10077.54,26029.782666666666,18404.53090009255,110872.77,9730.13,18.857142857142858,5.304984179322047,20.714285714285715,5.511227301937957,12.0,2.449489742783182,12.428571428571429,2.440500759279528,31632.980000000003,0.37510743670015323,38860.056140350884,32917.7275
2023-02-05,6,14,25,143.87,42525.81,2023,2,5,36,5,1,0,0,30734.16,22350.37,18961.9,110872.77,27762.92,30749.37,16.0,29.0,10.0,15.0,0.0,88.63,21869.12857142857,11361.72712836452,42525.81,10077.54,30008.807142857146,25160.85891274578,110872.77,10077.54,26422.33066666667,18632.838611678988,110872.77,9730.13,18.285714285714285,4.111540089159047,20.642857142857142,5.443516155194921,11.857142857142858,2.2677868380553674,12.428571428571429,2.440500759279528,21869.12857142857,0.3836659274240779,38860.056140350884,44275.45216666666
2023-02-06,0,12,20,0.0,26875.07,2023,2,6,37,6,0,0,0,42525.81,30734.16,22350.37,10077.54,26301.17,18137.22,25.0,16.0,14.0,11.0,143.87,94.22,24268.77571428571,10167.29072166697,42525.81,12731.74,30049.799999999996,25154.820436417045,110872.77,10077.54,26713.592333333334,18567.04020804565,110872.77,9730.13,18.857142857142858,4.017817460121504,20.142857142857142,5.126959555693242,12.0,2.236067977499794,12.357142857142858,2.437121342805982,24268.77571428571,-0.368029203911695,38860.056140350884,39730.437213114754
2023-02-07,1,13,27,15.1,39233.26,2023,2,7,38,6,0,0,0,26875.07,42525.81,30734.16,12731.74,30423.96,14205.8,20.0,14.0,12.0,10.0,0.0,68.23,28054.707142857143,10089.123377059272,42525.81,15702.38,30679.035714285714,25274.793921608543,110872.77,10077.54,27547.841,18547.917965528497,110872.77,9730.13,20.714285714285715,4.386125310350273,20.571428571428573,5.445029995174647,12.428571428571429,2.070196678027066,12.285714285714286,2.399633671676107,28054.707142857143,0.45983843018827497,38860.056140350884,37218.906721311476
2023-02-08,2,13,21,0.0,20637.92,2023,2,8,39,6,0,0,0,39233.26,26875.07,42525.81,15702.38,24503.94,23491.12,27.0,15.0,13.0,11.0,15.1,0.0,28759.784285714286,9216.75351684612,42525.81,18961.9,30402.891428571427,25368.396934758093,110872.77,10077.54,27452.734333333334,18576.729259494612,110872.77,9730.13,21.571428571428573,3.598941643369753,20.571428571428573,5.445029995174647,12.714285714285714,1.9760470401187107,12.142857142857142,2.282277636220275,28759.784285714286,-0.4739687703749319,38860.056140350884,35273.1293442623
2023-02-09,3,15,33,34.68,32706.51,2023,2,9,40,6,0,0,0,20637.92,39233.26,26875.07,18961.9,17128.68,34489.56,21.0,20.0,13.0,11.0,0.0,0.0,30723.3,8188.219403586275,42525.81,20637.92,31515.59357142857,25081.391821524576,110872.77,10077.54,27393.299333333332,18556.280187164615,110872.77,9730.13,23.428571428571427,5.503245795502348,21.928571428571427,6.018743616841865,13.285714285714286,1.976047040118709,12.642857142857142,2.0608863984346013,30723.3,0.5847774388116633,38860.056140350884,37770.58147540984
2023-02-10,4,20,34,88.68,39319.41,2023,2,10,41,6,0,0,0,32706.51,20637.92,39233.26,22350.37,39859.83,15514.29,33.0,22.0,15.0,16.0,34.68,15.97,33147.44857142858,7798.859941045726,42525.81,20637.92,31476.992142857143,25067.974071211065,110872.77,10077.54,28186.803333333333,18539.7636893989,110872.77,9730.13,25.142857142857142,6.71884343788848,22.214285714285715,6.5065478431473025,13.857142857142858,3.132015933791495,13.0,2.8010986855435562,33147.44857142858,0.20218910547166313,38860.056140350884,61068.61836065573
2023-02-11,5,14,26,19.62,21917.57,2023,2,11,42,6,1,0,0,39319.41,32706.51,20637.92,30734.16,17949.05,9730.13,34.0,16.0,20.0,10.0,88.68,0.0,31887.93571428571,8889.271631384017,42525.81,20637.92,31760.45785714286,24925.26615270635,110872.77,10077.54,28593.051333333333,18252.695280454966,110872.77,10077.54,26.571428571428573,5.380741673076386,22.714285714285715,6.509502774684589,14.428571428571429,2.6367367999823084,13.214285714285714,2.7506243047595684,31887.93571428571,-0.4425763255348949,38860.056140350884,32917.7275
2023-02-12,6,8,13,0.0,12439.84,2023,2,12,43,6,1,0,0,21917.57,39319.41,32706.51,42525.81,110872.77,48448.37,26.0,25.0,14.0,14.0,19.62,143.87,27589.94,10081.911097706961,39319.41,12439.84,24729.534285714286,10737.961202536546,42525.81,10077.54,27392.767,18085.179441619985,110872.77,10077.54,24.857142857142858,7.470577207252714,21.571428571428573,6.722113743965744,13.571428571428571,3.59894164336975,12.714285714285714,3.0237157840738167,27589.94,-0.4324261311815133,38860.056140350884,44275.45216666666
2023-02-13,0,11,17,3.58,16527.83,2023,2,13,44,7,0,0,0,12439.84,21917.57,39319.41,26875.07,10077.54,13342.65,13.0,20.0,8.0,12.0,0.0,0.0,26111.762857142858,10927.288266597707,39319.41,12439.84,25190.269285714287,10185.074609869434,42525.81,12439.84,27498.939666666665,18009.040485342157,110872.77,10077.54,24.428571428571427,7.870983480631941,21.642857142857142,6.663414957895004,13.428571428571429,3.6903993847614416,12.714285714285714,3.0237157840738167,26111.762857142858,0.3286207861194357,38860.056140350884,39730.437213114754
2023-02-14,1,13,21,36.19,29509.31,2023,2,14,45,7,0,0,0,16527.83,12439.84,21917.57,39233.26,12731.74,22586.69,17.0,27.0,11.0,13.0,3.58,15.1,24722.627142857145,9506.97573939739,39319.41,12439.84,26388.66714285714,9575.198890501053,42525.81,12439.84,27729.69366666667,17988.26687202071,110872.77,10077.54,23.571428571428573,7.870983480631941,22.142857142857142,6.29843866925206,13.428571428571429,3.6903993847614416,12.928571428571429,2.9211242755088365,24722.627142857145,0.7854316023337606,38860.056140350884,37218.906721311476
2023-02-15,2,11,18,0.0,18961.99,2023,2,15,46,7,0,0,0,29509.31,16527.83,12439.84,20637.92,15702.38,19146.96,21.0,21.0,13.0,13.0,36.19,0.0,24483.20857142857,9647.058146910955,39319.41,12439.84,26621.49642857143,9331.903537044385,42525.81,12439.84,27723.528,17991.34157333339,110872.77,10077.54,23.142857142857142,8.112306935115546,22.357142857142858,6.084117316134158,13.142857142857142,3.804758924845369,12.928571428571429,2.9211242755088365,24483.20857142857,-0.3574234707622781,38860.056140350884,35273.1293442623
2023-02-16,3,11,18,0.87,20579.7,2023,2,16,47,7,0,0,0,18961.99,29509.31,16527.83,32706.51,18961.9,17026.11,18.0,33.0,11.0,15.0,0.0,34.68,22750.807142857142,8990.741303820498,39319.41,12439.84,26737.053571428572,9239.315848011522,42525.81,12439.84,27841.980999999996,17930.076225267196,110872.77,10077.54,21.0,6.976149845485451,22.214285714285715,6.166641916592248,12.571428571428571,3.779644730092275,12.928571428571429,2.9211242755088365,22750.807142857142,0.08531330308685958,38860.056140350884,37770.58147540984
2023-02-17,4,16,30,46.84,23086.31,2023,2,17,48,7,0,0,0,20579.7,18961.99,29509.31,39319.41,22350.37,31433.03,18.0,34.0,11.0,20.0,0.87,88.68,20431.79285714286,5368.887933910575,29509.31,12439.84,26789.620714285713,9214.498170802904,42525.81,12439.84,27563.756999999998,17937.189152214596,110872.77,10077.54,20.428571428571427,5.798193478924935,22.785714285714285,6.506547843147304,12.0,2.581988897471617,12.928571428571429,2.9211242755088365,20431.79285714286,0.12180012342259605,38860.056140350884,61068.61836065573
2023-02-18,5,9,17,57.12,20246.9,2023,2,18,49,7,1,0,0,23086.31,20579.7,18961.99,21917.57,30734.16,26206.97,30.0,26.0,16.0,14.0,46.84,19.62,20193.125714285714,5328.815745488109,29509.31,12439.84,26040.530714285713,9295.088022886443,42525.81,12439.84,27365.088,17985.675650970687,110872.77,10077.54,19.142857142857142,5.336308693862315,22.857142857142858,6.431379118248073,11.285714285714286,2.6276913640612265,12.857142857142858,3.0091435749968873,20193.125714285714,-0.12299107133188458,38860.056140350884,32917.7275
2023-02-19,6,13,19,97.63,20748.0,2023,2,19,50,7,1,0,0,20246.9,23086.31,20579.7,12439.84,42525.81,33524.47,17.0,13.0,9.0,8.0,57.12,0.0,21380.005714285715,4096.976947721574,29509.31,16527.83,24484.972857142857,8064.8925901020775,39319.41,12439.84,26939.20566666667,17986.06541489553,110872.77,10077.54,20.0,4.618802153517009,22.428571428571427,6.477348528220784,12.0,2.2360679774997965,12.785714285714286,2.9917468894526227,21380.005714285715,0.024749467819764837,38860.056140350884,44275.45216666666
2023-02-20,0,8,14,0.0,19527.19,2023,2,20,51,8,0,0,0,20748.0,20246.9,23086.31,16527.83,26875.07,17500.33,19.0,17.0,13.0,11.0,97.63,3.58,21808.485714285718,3635.8280074138984,29509.31,18961.99,23960.12428571429,8136.162980336339,39319.41,12439.84,27006.767666666667,17953.163766748392,110872.77,10077.54,19.571428571428573,5.061526214398939,22.0,6.838803314120883,11.571428571428571,2.6992062325273194,12.5,3.252218177939953,21808.485714285718,-0.05883988818199348,38860.056140350884,39730.437213114754
2023-02-21,1,13,20,29.33,20864.99,2023,2,21,52,8,0,0,0,19527.19,20748.0,20246.9,29509.31,39233.26,27762.92,14.0,21.0,8.0,13.0,0.0,36.19,20573.58285714286,1305.6330402237436,23086.31,18961.99,22648.105000000003,6865.603126445455,39319.41,12439.84,26776.836666666666,17987.284978895183,110872.77,10077.54,19.428571428571427,5.028490259085158,21.5,6.699598150980055,11.571428571428571,2.6992062325273194,12.5,3.252218177939953,20573.58285714286,0.06850960122782657,38860.056140350884,37218.906721311476
2023-02-22,2,12,22,114.1,25166.2,2023,2,22,53,8,0,0,0,20864.99,19527.19,20748.0,18961.99,20637.92,26301.17,20.0,18.0,13.0,11.0,29.33,0.0,21459.898571428574,1967.4042831561167,25166.2,19527.19,22971.553571428576,6870.280896541165,39319.41,12439.84,26739.004333333334,17989.513381678906,110872.77,10077.54,20.0,5.066228051190223,21.571428571428573,6.699188076111975,11.714285714285714,2.6903708365382037,12.428571428571429,3.2513733362117248,21459.898571428574,0.2061448387945548,38860.056140350884,35273.1293442623
2023-02-23,3,8,12,19.75,9205.31,2023,2,23,54,8,0,0,0,25166.2,20864.99,19527.19,20579.7,32706.51,30423.96,22.0,18.0,12.0,11.0,114.1,0.87,19834.985714285714,5068.561213614963,25166.2,9205.31,21292.896428571432,7173.130970299569,39319.41,9205.31,26031.716,18254.80474748376,110872.77,9205.31,19.142857142857142,5.8999596447368905,20.071428571428573,6.28140461648857,11.285714285714286,3.0394235042348545,11.928571428571429,3.3618741502616944,19834.985714285714,-0.6342193100269409,38860.056140350884,37770.58147540984
2023-02-24,4,16,25,45.25,31168.07,2023,2,24,55,8,0,0,0,9205.31,25166.2,20864.99,23086.31,39319.41,24503.94,12.0,30.0,8.0,16.0,19.75,46.84,20989.522857142856,6616.631499153519,31168.07,9205.31,20710.657857142854,5796.002202380768,31168.07,9205.31,26253.853666666666,18276.10713973819,110872.77,9205.31,18.428571428571427,4.503966505838421,19.428571428571427,5.0947074455795685,11.285714285714286,3.0394235042348545,11.642857142857142,2.734597224093882,20989.522857142856,2.3858794543584083,38860.056140350884,61068.61836065573
2023-02-25,5,15,26,23.66,111820.0,2023,2,25,56,8,1,0,0,31168.07,9205.31,25166.2,20246.9,21917.57,17128.68,25.0,17.0,16.0,9.0,45.25,57.12,34071.39428571429,34915.02886329652,111820.0,9205.31,27132.260000000002,25052.030919572167,111820.0,9205.31,29410.231000000003,23943.814794935985,111820.0,9205.31,19.714285714285715,5.250850271282604,19.428571428571427,5.0947074455795685,12.142857142857142,3.1320159337914997,11.714285714285714,2.8128433856309702,34071.39428571429,2.587645946637055,38860.056140350884,32917.7275
2023-02-26,6,14,30,867.38,196668.45,2023,2,26,57,8,1,0,0,111820.0,31168.07,9205.31,20748.0,12439.84,39859.83,26.0,19.0,15.0,13.0,23.66,97.63,59202.887142857144,69705.93184013652,196668.45,9205.31,40291.44642857143,51336.90319188656,196668.45,9205.31,34637.185000000005,38806.49074812248,196668.45,9205.31,21.285714285714285,6.4990841845674865,20.642857142857142,5.457628998540874,12.285714285714286,3.199702367110926,12.142857142857142,2.656114653953221,59202.887142857144,0.7587949382936865,38860.056140350884,44275.45216666666
2023-02-27,0,9,16,0.0,12398.56,2023,2,27,58,9,0,0,0,196668.45,111820.0,31168.07,19527.19,16527.83,17949.05,30.0,14.0,14.0,8.0,867.38,0.0,58184.51142857143,70430.49301032696,196668.45,9205.31,39996.49857142858,51495.55239162786,196668.45,9205.31,34452.16866666667,38901.91186780508,196668.45,9205.31,21.571428571428573,6.160550377391694,20.571428571428573,5.515213723654088,12.428571428571429,2.9920529661723867,12.0,2.7735009811261424,58184.51142857143,-0.9369570462369536,38860.056140350884,39730.437213114754
2023-02-28,1,15,29,16.95,22532.04,2023,2,28,59,9,0,0,1,12398.56,196668.45,111820.0,20864.99,29509.31,110872.77,16.0,20.0,9.0,13.0,0.0,29.33,58422.66142857143,70285.94110894001,196668.45,9205.31,39498.12214285714,51638.42024612639,196668.45,9205.31,31507.477666666666,36164.9709873027,196668.45,9205.31,22.857142857142858,6.693991620066742,21.142857142857142,5.959570749347934,12.714285714285714,3.147183169877776,12.142857142857142,2.8784916685156947,58422.66142857143,0.8173110425726859,38860.056140350884,37218.906721311476
2023-03-01,2,13,23,47.7,27286.21,2023,3,1,60,9,0,1,0,22532.04,12398.56,196668.45,25166.2,18961.99,10077.54,29.0,22.0,15.0,12.0,16.95,114.1,58725.520000000004,70123.13624740174,196668.45,9205.31,40092.70928571429,51431.27781681246,196668.45,9205.31,32081.1,35949.17593594793,196668.45,9205.31,23.0,6.683312551921138,21.5,5.906319952780697,12.857142857142858,3.132015933791498,12.285714285714286,2.867015908532808,58725.520000000004,0.21099598616015225,41178.63344262295,35273.1293442623
2023-03-02,3,9,15,7.97,12135.1,2023,3,2,61,9,0,0,0,27286.21,22532.04,12398.56,9205.31,20579.7,12731.74,23.0,12.0,13.0,8.0,47.7,19.75,59144.061428571425,69786.23935737653,196668.45,12135.1,39489.523571428566,51726.40236104496,196668.45,9205.31,32061.212,35960.412899585936,196668.45,9205.31,23.428571428571427,5.912053869204924,21.285714285714285,6.09449400220044,13.0,2.886751345948132,12.142857142857142,2.9834709485930784,59144.061428571425,-0.5552661949021136,41178.63344262295,37770.58147540984
2023-03-03,4,15,25,0.0,27791.8,2023,3,3,62,9,0,0,0,12135.1,27286.21,22532.04,31168.07,23086.31,15702.38,15.0,25.0,9.0,16.0,7.97,45.25,58661.73714285715,70023.08543750428,196668.45,12135.1,39825.630000000005,51626.810932411405,196668.45,9205.31,32464.192666666666,35838.30173837944,196668.45,9205.31,23.428571428571427,5.912053869204924,20.928571428571427,5.676730989334858,12.857142857142858,2.7342623276105926,12.071428571428571,2.8946711176091946,58661.73714285715,1.2901995039183856,41178.63344262295,61068.61836065573
2023-03-04,5,12,22,42.94,20553.23,2023,3,4,63,9,1,0,0,27791.8,12135.1,27286.21,111820.0,20246.9,18961.9,25.0,26.0,15.0,15.0,0.0,23.66,45623.62714285714,66902.79788019774,196668.45,12135.1,39847.510714285716,51617.93883338374,196668.45,9205.31,32517.237,35818.800200643156,196668.45,9205.31,22.857142857142858,5.814595756329392,21.285714285714285,5.56677743304068,12.428571428571429,2.572750982712405,12.285714285714286,2.7576068618270426,45623.62714285714,-0.260457041285559,41178.63344262295,32917.7275
2023-03-05,6,11,21,7.21,19865.34,2023,3,5,64,9,1,0,0,20553.23,27791.8,12135.1,196668.45,20748.0,22350.37,22.0,30.0,12.0,14.0,42.94,867.38,20366.04,6314.494857423941,27791.8,12135.1,39784.46357142857,51643.59451681892,196668.45,9205.31,32434.402666666665,35845.98590228315,196668.45,9205.31,21.571428571428573,4.8941169737125145,21.428571428571427,5.529143565818179,12.0,2.51661147842359,12.142857142857142,2.7695360027141107,20366.04,-0.03346870540542768,41178.63344262295,44275.45216666666
2023-03-06,0,15,23,40.68,21185.2,2023,3,6,65,10,0,0,0,19865.34,20553.23,27791.8,12398.56,19527.19,30734.16,21.0,16.0,11.0,9.0,7.21,0.0,21621.274285714288,5250.366107831148,27791.8,12135.1,39902.892857142855,51595.445703860845,196668.45,9205.31,32116.104,35903.95270150624,196668.45,9205.31,22.571428571428573,4.237025012007944,22.071428571428573,5.106018857331862,12.857142857142858,2.3401261667248834,12.642857142857142,2.590133434553362,21621.274285714288,0.06644034282826272,41178.63344262295,39730.437213114754
2023-03-07,1,9,13,0.0,16808.79,2023,3,7,66,10,0,0,0,21185.2,19865.34,20553.23,22532.04,20864.99,42525.81,23.0,29.0,15.0,15.0,40.68,16.95,20803.66714285714,5523.422947338954,27791.8,12135.1,39613.16428571429,51721.80827828784,196668.45,9205.31,31258.87,35953.81479310664,196668.45,9205.31,20.285714285714285,4.498677054212188,21.571428571428573,5.6393437386098215,12.0,2.51661147842359,12.357142857142858,2.7625835972632786,20803.66714285714,-0.2065786492456998,41178.63344262295,37218.906721311476
2023-03-08,2,8,16,1.18,13642.45,2023,3,8,67,10,0,0,0,16808.79,21185.2,19865.34,27286.21,25166.2,26875.07,13.0,23.0,9.0,13.0,0.0,47.7,18854.558571428573,5255.405246681518,27791.8,12135.1,38790.03928571429,52060.00133515047,196668.45,9205.31,30817.782666666666,36090.361191588876,196668.45,9205.31,19.285714285714285,4.572172558506725,21.142857142857142,5.8290669903529135,11.285714285714286,2.870208222079938,12.071428571428571,2.999084109274943,18854.558571428573,-0.18837405904886673,41178.63344262295,35273.1293442623
2023-03-09,3,11,23,28.47,17881.72,2023,3,9,68,10,0,0,0,13642.45,16808.79,21185.2,12135.1,9205.31,39233.26,16.0,15.0,8.0,9.0,1.18,7.97,19675.504285714287,4411.978659916878,27791.8,13642.45,39409.78285714286,51731.3274126186,196668.45,12135.1,30106.06466666667,36129.19162674671,196668.45,9205.31,20.428571428571427,4.314979445958883,21.928571428571427,5.210408011696556,11.571428571428571,2.699206232527319,12.285714285714286,2.785362051554832,19675.504285714287,0.310741105886406,41178.63344262295,37770.58147540984
2023-03-10,4,16,28,143.46,33771.72,2023,3,10,69,10,0,0,0,17881.72,13642.45,16808.79,27791.8,31168.07,20637.92,23.0,25.0,11.0,15.0,28.47,0.0,20529.778571428575,6383.753906449899,33771.72,13642.45,39595.75785714285,51704.09206725015,196668.45,12135.1,30543.858,36090.05857763464,196668.45,9205.31,20.857142857142858,4.947341758580103,22.142857142857142,5.404515816314281,11.714285714285714,2.9277002188456063,12.285714285714286,2.785362051554832,20529.778571428575,0.8886169786799032,41178.63344262295,61068.61836065573
2023-03-11,5,13,22,116.04,22189.61,2023,3,11,70,10,1,0,0,33771.72,17881.72,13642.45,20553.23,111820.0,32706.51,28.0,22.0,16.0,12.0,143.46,42.94,20763.547142857144,6414.642622099628,33771.72,13642.45,33193.58714285714,47447.03488071198,196668.45,12135.1,30193.294666666665,36119.39352625418,196668.45,9205.31,20.857142857142858,4.947341758580103,21.857142857142858,5.289425486574321,11.857142857142858,2.9680841985233246,12.142857142857142,2.6849192182989774,20763.547142857144,-0.34295292037242997,41178.63344262295,32917.7275
2023-03-12,6,15,24,0.0,28438.73,2023,3,12,71,10,1,0,0,22189.61,33771.72,17881.72,19865.34,196668.45,39319.41,22.0,21.0,13.0,11.0,116.04,7.21,21988.317142857144,7005.7959905155585,33771.72,13642.45,21177.178571428576,6462.527354739157,33771.72,12135.1,29830.605333333333,36079.20084841353,196668.45,9205.31,21.285714285714285,5.089672082242813,21.428571428571427,4.799267343352216,12.428571428571429,3.1547394428670312,12.214285714285714,2.7506243047595667,21988.317142857144,0.2816236968563215,41178.63344262295,44275.45216666666
2023-03-13,0,13,28,61.97,123964.87,2023,3,13,72,11,0,0,0,28438.73,22189.61,33771.72,21185.2,12398.56,21917.57,24.0,23.0,15.0,15.0,0.0,40.68,36671.12714285714,39123.660858386254,123964.87,13642.45,29146.20071428571,27931.380681323975,123964.87,12135.1,33232.182,39914.1644651222,196668.45,9205.31,22.0,5.686240703077324,22.285714285714285,4.826665857163029,12.142857142857142,2.9680841985233246,12.5,2.594372608313851,36671.12714285714,3.359015680376726,41178.63344262295,39730.437213114754
2023-03-14,1,9,16,56.26,19131.48,2023,3,14,73,11,0,0,0,123964.87,28438.73,22189.61,16808.79,22532.04,12439.84,28.0,13.0,13.0,9.0,61.97,0.0,37002.94,38936.531947273725,123964.87,13642.45,28903.303571428572,28008.00417280214,123964.87,12135.1,33455.236666666664,39812.53092156394,196668.45,9205.31,22.428571428571427,4.961758520831861,21.357142857142858,4.683968449889521,12.142857142857142,2.9680841985233246,12.071428571428571,2.644712743287157,37002.94,-0.8456701483250859,41178.63344262295,37218.906721311476
2023-03-15,2,12,19,21.6,201911.6,2023,3,15,74,11,0,0,0,19131.48,123964.87,28438.73,13642.45,27286.21,16527.83,16.0,16.0,9.0,8.0,56.26,1.18,63898.532857142854,71509.74801205026,201911.6,17881.72,41376.54571428571,54029.150777367,201911.6,12135.1,39634.695666666674,50141.70567023264,201911.6,9205.31,22.857142857142858,4.413183712037198,21.071428571428573,4.698023900687242,12.714285714285714,2.360387377408336,12.0,2.6311740579210845,63898.532857142854,9.55389337364386,41178.63344262295,35273.1293442623
2023-03-16,3,13,17,0.0,108558.96,2023,3,16,75,11,0,0,0,201911.6,19131.48,123964.87,17881.72,12135.1,29509.31,19.0,23.0,12.0,11.0,21.6,28.47,76852.4242857143,69981.24502266325,201911.6,19131.48,48263.9642857143,56120.22938169852,201911.6,13642.45,42269.684,51645.764472852534,201911.6,9205.31,22.0,4.932882862316244,21.214285714285715,4.526478873143117,13.0,2.2360679774997965,12.285714285714286,2.4939487203589823,76852.4242857143,-0.4623441149493145,41178.63344262295,37770.58147540984
2023-03-17,4,15,23,29.55,23416.33,2023,3,17,76,11,0,0,0,108558.96,201911.6,19131.48,33771.72,27791.8,18961.99,17.0,28.0,13.0,16.0,0.0,143.46,75373.08285714287,71143.51441845649,201911.6,19131.48,47951.430714285714,56255.030430721,201911.6,13642.45,42418.162000000004,51582.810434569255,201911.6,9205.31,21.285714285714285,4.231401884099629,21.071428571428573,4.428305557421496,12.857142857142858,2.0354009783964373,12.285714285714286,2.4939487203589823,75373.08285714287,-0.784298504701961,41178.63344262295,61068.61836065573
2023-03-18,5,14,16,11.62,14996.04,2023,3,18,77,11,1,0,0,23416.33,108558.96,201911.6,22189.61,20553.23,20579.7,23.0,22.0,15.0,13.0,29.55,116.04,74345.43000000001,72085.49425175406,201911.6,14996.04,47554.48857142858,56482.373237989086,201911.6,13642.45,42232.04000000001,51674.31788850422,201911.6,9205.31,20.428571428571427,4.649628761422532,20.642857142857142,4.617810717664358,13.0,2.0816659994661397,12.428571428571429,2.533294775106601,74345.43000000001,-0.35959050799164516,41178.63344262295,32917.7275
2023-03-19,6,15,28,64.16,22797.24,2023,3,19,78,11,1,0,0,14996.04,23416.33,108558.96,28438.73,19865.34,23086.31,16.0,24.0,14.0,15.0,11.62,0.0,73539.50285714286,72713.08347033903,201911.6,14996.04,47763.909999999996,56377.149443090995,201911.6,13642.45,42222.40433333334,51678.037900609575,201911.6,9205.31,21.0,5.354126134736336,21.142857142857142,5.020835708205478,13.0,2.0816659994661397,12.714285714285714,2.5848246906354535,73539.50285714286,0.5202173373770675,41178.63344262295,44275.45216666666
